33,38,47,50,52,55
26,33,35,38,43,53
15,17,23,33,39,49
10,11,15,27,53,60
15,18,31,33,34,56
38,42,44,52,58,60
19,23,27,38,41,49
7,27,39,52,55,57
2,10,34,37,43,50
1,27,29,38,50,52
39,40,42,47,59,60
7,,8,23,36,46,54
28,40,42,54,55,57
11,27,30,40,44,57
8,22,36,37,46,52
1,23,36,43,47,59
23,26,27,41,51,53
9,29,34,43,45,56
10,14,22,41,42,53
18,24,36,44,55,58
4,15,43,47,50,60
3,32,33,42,48,50
1,15,28,43,50,57
14,24,26,33,45,60
2,14,35,39,49,51
10,17,33,42,54,58
10,17,33,42,54,58
1,19,24,26,52,55
33,38,47,50,52,55
6,,7,39,47,51,52
7,,8,23,36,46,54
22,29,32,49,54,59
1,15,26,51,54,59
6,19,31,34,51,56
17,30,32,40,42,56
13,25,35,41,50,56
5,10,33,40,41,59
9,20,44,52,59,60
1,15,26,51,54,59
3,15,16,33,51,57
18,20,36,53,54,58
4,,5,20,47,53,56
10,17,33,42,54,58
10,11,15,27,53,60
4,28,30,31,35,54
28,40,42,54,55,57
2,20,35,38,45,51
3,15,16,33,51,57
19,23,27,38,41,49
4,16,31,36,54,55
4,,7,42,47,48,51
10,14,32,47,50,56
11,26,47,55,57,59
8,14,25,39,45,51
15,27,34,42,49,53
8,25,32,34,36,44
5,27,34,46,48,52
9,17,28,45,49,53
2,15,16,45,50,54
4,20,30,41,47,58
8,22,36,37,46,52
3,24,31,42,43,53
10,14,43,46,49,53
23,41,42,48,49,59
7,,8,35,43,53,58
10,20,42,44,52,59
20,28,40,41,51,58
6,10,35,45,49,56
25,26,29,36,52,54
12,27,30,33,52,55
8,14,25,39,45,51
19,29,35,42,55,57
8,,9,14,32,53,59
4,29,33,36,38,42
2,20,21,27,51,60
3,32,33,42,48,50
5,24,25,26,42,60
20,28,40,41,51,58
10,14,32,47,50,56
18,26,35,41,47,60
6,,8,38,50,53,59
8,,9,11,48,53,60
13,21,30,36,59,60
2,10,34,37,43,50
3,15,16,33,51,57
2,23,33,35,40,50
1,,8,30,36,47,53
17,20,26,27,55,57
1,32,38,47,51,54
16,35,36,41,52,54
4,19,30,34,57,59
20,33,34,57,58,60
9,21,23,30,41,56
3,,9,35,37,41,49
4,16,31,36,54,55
10,27,40,46,49,58
10,23,27,43,53,59
9,18,24,35,36,59
5,18,31,43,55,58
10,19,26,28,44,54
3,16,23,25,51,56
3,13,37,47,56,59
5,24,25,26,42,60
12,15,27,37,51,60
18,31,33,49,57,58
5,25,31,33,37,51
20,28,40,41,51,58
4,29,33,36,38,42
11,26,47,55,57,59
17,27,34,48,51,55
